"";"ANO";"NIVEL";"CODMUNRES";"POPRE_T";"POPRC_T";"POPRC_M";"POPRC_F";"POPRC_15";"POPRC_15_49";"POPRC_50";"POPRC_F_15";"POPRC_F_15_49";"POPRC_F_50"
"130";2015;"MUNICIPIO";"4306320";3148;3190;1604;1586;715;1543;932;348;749;NA
"131";2015;"MUNICIPIO";"4306353";2795;2866;1469;1397;595;1277;994;276;624;NA
"132";2015;"MUNICIPIO";"4306379";3136;3064;1579;1485;639;1412;1013;318;688;NA
"133";2015;"MUNICIPIO";"4306403";30175;27572;13653;13919;5368;16960;5244;2655;8447;2817
"134";2015;"MUNICIPIO";"4306429";2174;2157;1080;1077;505;1077;575;256;539;NA
"135";2015;"MUNICIPIO";"4306452";3417;3278;1653;1625;482;1670;1126;246;780;NA
"136";2015;"MUNICIPIO";"4306502";15165;14380;7398;6982;3376;7653;3351;1671;3662;1649
"137";2015;"MUNICIPIO";"4306551";2619;2550;1341;1209;407;1304;839;195;615;NA
"138";2015;"MUNICIPIO";"4306601";39886;38898;19107;19791;8443;19735;10720;4143;9900;5748
"139";2015;"MUNICIPIO";"4306700";3374;3401;1678;1723;633;1739;1029;314;858;NA
"140";2015;"MUNICIPIO";"4306734";5200;5313;2646;2667;876;2517;1920;436;1235;996
"141";2015;"MUNICIPIO";"4306759";2076;2030;1035;995;334;959;737;159;472;NA
"142";2015;"MUNICIPIO";"4306767";37794;34343;16999;17344;8754;18676;6913;4302;9467;NA
"143";2015;"MUNICIPIO";"4306809";21883;20510;9932;10578;3632;11002;5876;1783;5555;3240
"144";2015;"MUNICIPIO";"4306908";25726;24534;12322;12212;5548;12179;6807;2696;6066;3450
"145";2015;"MUNICIPIO";"4306924";1397;1527;742;785;395;747;385;196;376;NA
"146";2015;"MUNICIPIO";"4306932";9037;8938;4415;4523;1781;4318;2839;911;2166;1446
"147";2015;"MUNICIPIO";"4306957";3069;3080;1556;1524;648;1455;977;306;719;NA
"148";2015;"MUNICIPIO";"4306973";3064;2970;1490;1480;667;1520;783;323;748;409
"149";2015;"MUNICIPIO";"4307005";102345;96087;46224;49863;18604;54576;22907;9206;27938;12719
"150";2015;"MUNICIPIO";"4307054";3207;3088;1562;1526;632;1531;925;305;750;NA
"151";2015;"MUNICIPIO";"4307104";6975;6753;3483;3270;1571;3169;2013;725;1547;998
"152";2015;"MUNICIPIO";"4307203";5207;5163;2622;2541;1040;2563;1560;485;1253;NA
"153";2015;"MUNICIPIO";"4307302";7773;7878;3920;3958;1829;3818;2231;880;1913;1165
"154";2015;"MUNICIPIO";"4307401";3301;3168;1572;1596;675;1559;934;329;786;481
"155";2015;"MUNICIPIO";"4307450";3245;3272;1650;1622;595;1457;1220;297;702;NA
"156";2015;"MUNICIPIO";"4307500";15809;15240;7532;7708;3028;7919;4293;1455;3960;NA
"157";2015;"MUNICIPIO";"4307559";6169;6011;2951;3060;1127;3178;1706;544;1587;NA
"158";2015;"MUNICIPIO";"4307609";46444;42574;21035;21539;9085;24867;8622;4435;12430;4674
"159";2015;"MUNICIPIO";"4307708";83984;80755;38973;41782;17014;43787;19954;8214;22393;11175
"160";2015;"MUNICIPIO";"4307807";32748;30619;15119;15500;5851;16681;8087;2838;8255;4407
"161";2015;"MUNICIPIO";"4307815";3743;3628;1846;1782;766;1917;945;408;908;466
"162";2015;"MUNICIPIO";"4307831";2744;2798;1415;1383;533;1300;965;246;651;486
"163";2015;"MUNICIPIO";"4307864";2708;2579;1300;1279;413;1252;914;209;595;NA
"164";2015;"MUNICIPIO";"4307906";68562;63635;31303;32332;12311;37201;14123;6149;18557;7626
"165";2015;"MUNICIPIO";"4308003";6869;6672;3274;3398;1251;3395;2026;605;1724;1069
"166";2015;"MUNICIPIO";"4308052";2553;2567;1283;1284;565;1235;767;287;612;NA
"167";2015;"MUNICIPIO";"4308078";4099;3697;1856;1841;835;1913;949;438;930;NA
"168";2015;"MUNICIPIO";"4308102";13140;12359;6161;6198;2106;7008;3245;1045;3410;NA
"169";2015;"MUNICIPIO";"4308201";29196;27126;13552;13574;5016;15314;6796;2453;7573;NA
"170";2015;"MUNICIPIO";"4308250";1988;2018;1081;937;329;949;740;148;416;NA
