"";"CODMUNRES";"ANO";"NIVEL";"TO";"TORC";"TORCR";"TO_N";"TO_NN";"TO_CB_C";"TO_CB_N";"TO_CB_O";"TO_CB_R";"TO_CB_I";"TO_M";"TO_F";"TO_F_IF";"TO_FT";"TO_NT";"TO_NT_T";"TO_NT_P";"TO_PNT";"TO_MT_G";"TONT_B";"TONT_PT";"TONT_PD";"TONT_I";"TONT_A"
"446";432140;2015;"MUNICIPIO";96;0;0;93;3;22;8;55;9;2;52;44;6;NA;1;1;0;95;NA;1;0;0;0;0
"447";432143;2015;"MUNICIPIO";73;0;0;72;1;18;3;43;8;1;47;26;3;NA;1;1;0;72;NA;0;0;1;0;0
"448";432145;2015;"MUNICIPIO";187;0;0;184;3;58;18;82;28;1;95;92;10;NA;2;2;0;185;NA;2;0;0;0;0
"449";432146;2015;"MUNICIPIO";17;0;0;17;0;5;2;5;3;2;10;7;NA;NA;NA;NA;NA;17;NA;NA;NA;NA;NA;NA
"450";432147;2015;"MUNICIPIO";57;0;0;56;1;16;4;32;4;1;36;21;2;NA;1;1;0;56;NA;1;0;0;0;0
"451";432149;2015;"MUNICIPIO";25;0;0;23;2;7;1;14;3;0;14;11;1;NA;NA;NA;NA;25;NA;NA;NA;NA;NA;NA
"452";432150;2015;"MUNICIPIO";276;0;0;266;10;95;34;119;24;4;171;104;12;NA;2;2;0;274;NA;1;0;0;1;0
"453";432160;2015;"MUNICIPIO";392;0;0;376;16;91;38;201;46;16;236;156;18;NA;8;8;0;384;NA;8;0;0;0;0
"454";432162;2015;"MUNICIPIO";21;0;0;21;0;3;0;12;5;1;12;9;1;NA;NA;NA;NA;21;NA;NA;NA;NA;NA;NA
"455";432163;2015;"MUNICIPIO";15;0;0;15;0;3;4;6;2;0;11;4;NA;NA;NA;NA;NA;15;NA;NA;NA;NA;NA;NA
"456";432166;2015;"MUNICIPIO";60;0;0;59;1;24;7;26;3;0;33;27;3;NA;NA;NA;NA;60;NA;NA;NA;NA;NA;NA
"457";432170;2015;"MUNICIPIO";160;0;0;156;4;51;18;56;31;4;86;74;5;NA;4;4;0;156;NA;4;0;0;0;0
"458";432180;2015;"MUNICIPIO";208;0;0;202;6;57;29;84;35;3;97;111;13;NA;3;3;0;205;NA;3;0;0;0;0
"459";432183;2015;"MUNICIPIO";17;0;0;17;0;3;1;10;2;1;8;9;1;NA;NA;NA;NA;17;NA;NA;NA;NA;NA;NA
"460";432185;2015;"MUNICIPIO";23;0;0;22;1;9;3;7;4;0;12;11;1;NA;NA;NA;NA;23;NA;NA;NA;NA;NA;NA
"461";432190;2015;"MUNICIPIO";204;0;0;198;6;57;16;94;32;5;106;98;6;NA;1;1;0;203;NA;1;0;0;0;0
"462";432195;2015;"MUNICIPIO";34;0;0;33;1;10;2;18;4;0;14;20;1;NA;1;1;0;33;NA;1;0;0;0;0
"463";432200;2015;"MUNICIPIO";187;0;0;180;7;56;15;89;24;3;115;72;9;NA;5;5;0;182;NA;5;0;0;0;0
"464";432210;2015;"MUNICIPIO";44;0;0;44;0;9;10;18;7;0;24;20;1;NA;NA;NA;NA;44;NA;NA;NA;NA;NA;NA
"465";432215;2015;"MUNICIPIO";28;0;0;27;1;7;2;15;4;0;20;8;NA;NA;NA;NA;NA;28;NA;NA;NA;NA;NA;NA
"466";432218;2015;"MUNICIPIO";10;0;0;9;1;6;1;3;0;0;4;6;NA;NA;NA;NA;NA;10;NA;NA;NA;NA;NA;NA
"467";432220;2015;"MUNICIPIO";154;0;0;153;1;44;21;65;23;1;91;63;3;NA;2;2;0;152;NA;1;0;0;0;0
"468";432225;2015;"MUNICIPIO";19;0;0;19;0;6;3;7;3;0;11;8;NA;NA;NA;NA;NA;19;NA;NA;NA;NA;NA;NA
"469";432230;2015;"MUNICIPIO";79;0;0;78;1;19;12;35;13;0;42;37;2;NA;NA;NA;NA;79;NA;NA;NA;NA;NA;NA
"470";432232;2015;"MUNICIPIO";23;0;0;21;2;7;2;10;3;1;15;8;NA;NA;NA;NA;NA;23;NA;NA;NA;NA;NA;NA
"471";432234;2015;"MUNICIPIO";18;0;0;18;0;8;2;7;1;0;9;9;NA;NA;NA;NA;NA;18;NA;NA;NA;NA;NA;NA
"472";432235;2015;"MUNICIPIO";13;0;0;12;1;4;0;7;2;0;8;5;NA;NA;NA;NA;NA;13;NA;NA;NA;NA;NA;NA
"473";432237;2015;"MUNICIPIO";18;0;0;18;0;9;1;7;1;0;7;11;1;NA;NA;NA;NA;18;NA;NA;NA;NA;NA;NA
"474";432240;2015;"MUNICIPIO";921;0;0;895;26;214;95;472;109;31;495;426;54;1;17;17;0;903;1;17;0;0;0;0
"475";432250;2015;"MUNICIPIO";524;0;0;513;11;117;49;272;78;8;277;247;22;NA;10;10;0;514;NA;9;0;0;0;0
"476";432252;2015;"MUNICIPIO";35;0;0;35;0;13;5;11;6;0;20;15;NA;NA;NA;NA;NA;35;NA;NA;NA;NA;NA;NA
"477";432253;2015;"MUNICIPIO";98;0;0;96;2;41;10;31;16;0;55;43;4;NA;NA;NA;NA;98;NA;NA;NA;NA;NA;NA
"478";432254;2015;"MUNICIPIO";25;0;0;24;1;2;7;15;1;0;11;14;1;NA;NA;NA;NA;25;NA;NA;NA;NA;NA;NA
"479";432255;2015;"MUNICIPIO";11;0;0;11;0;3;0;4;4;0;4;7;1;NA;NA;NA;NA;11;NA;NA;NA;NA;NA;NA
"480";432260;2015;"MUNICIPIO";490;0;0;479;11;119;53;220;87;11;276;214;20;1;5;5;0;485;1;5;0;0;0;0
"481";432270;2015;"MUNICIPIO";199;0;0;193;6;66;21;85;26;1;115;84;7;NA;1;1;0;198;NA;1;0;0;0;0
"482";432280;2015;"MUNICIPIO";179;0;0;175;4;40;28;77;28;6;96;83;9;NA;2;2;0;177;NA;2;0;0;0;0
"483";432285;2015;"MUNICIPIO";17;0;0;17;0;4;0;8;5;0;8;9;NA;NA;NA;NA;NA;17;NA;NA;NA;NA;NA;NA
"484";432290;2015;"MUNICIPIO";34;0;0;34;0;9;7;15;3;0;21;13;NA;NA;NA;NA;NA;34;NA;NA;NA;NA;NA;NA
