"";"ANO";"NIVEL";"CODMUNRES";"IDHM_A";"IDHM_CA";"IDHM_CA_F";"IDHM_CA_M"
"429";2015;"MUNICIPIO";"4320503";0;0,751;0;0
"430";2015;"MUNICIPIO";"4320552";0;0,689;0;0
"431";2015;"MUNICIPIO";"4320578";0;0,683;0;0
"432";2015;"MUNICIPIO";"4320602";0;0,752;0;0
"433";2015;"MUNICIPIO";"4320651";0;0,742;0;0
"434";2015;"MUNICIPIO";"4320677";0;0,631;0;0
"435";2015;"MUNICIPIO";"4320701";0;0,743;0;0
"436";2015;"MUNICIPIO";"4320800";0;0,731;0;0
"437";2015;"MUNICIPIO";"4320859";0;0,701;0;0
"438";2015;"MUNICIPIO";"4320909";0;0,76;0;0
"439";2015;"MUNICIPIO";"4321006";0;0,747;0;0
"440";2015;"MUNICIPIO";"4321105";0;0,695;0;0
"441";2015;"MUNICIPIO";"4321204";0;0,727;0;0
